gisjoin,town,Geo_FIPS,area,num,pop,popw,popblack,popother,popnw,pctw,pctnw
Hartland,Hartland,,town, ,1303,,,,,100,0
G09000305041,Hartford,9003504100,tract,5041,1930,1890,16,24,40,98,2
G09000304001,Berlin,9003400100,tract,4001,5444,5439,0,5,5,100,0
G09000305042,Hartford,9003504200,tract,5042,4884,4646,163,75,238,95,5
G09000305241,Marlborough,9003524100,tract,5241,2991,2991,0,0,0,100,0
G09000305103,East Hartford,9003510300,tract,5103,4334,4175,82,77,159,96,4
G09000304715,Bloomfield,9003471500,tract,4715,1189,1123,66,0,66,94,6
G09000304943,Newington,9003494300,tract,4943,4520,4485,24,11,35,99,1
G09000304732,Windsor,9003473200,tract,4732,5236,4919,305,12,317,94,6
G09000304101,Burlington,9003410100,tract,4101,4070,4000,70,0,70,98,2
G09000305114,East Hartford,9003511400,tract,5114,2291,2272,0,19,19,99,1
G09000304662,Simsbury,9003466200,tract,4662,3809,3792,17,0,17,100,0
G09000305141,Manchester,9003514100,tract,5141,3978,3955,23,0,23,99,1
G09000305007,Hartford,9003500700,tract,5007,0,,0,0,0,,
G09000305101,East Hartford,9003510100,tract,5101,2237,2201,36,0,36,98,2
G09000305047,Hartford,9003504700,tract,5047,2689,2689,0,0,0,100,0
G09000305201,Glastonbury,9003520100,tract,5201,2404,2404,0,0,0,100,0
G09000305048,Hartford,9003504800,tract,5048,3498,3491,0,7,7,100,0
G09000305004,Hartford,9003500400,tract,5004,2805,2331,470,4,474,83,17
G09000304170,New Britain,9003417000,tract,4170,6677,6633,33,11,44,99,1
G09000304903,Rocky Hill,9003490300,tract,4903,5541,5440,86,15,101,98,2
G09000305018,Hartford,9003501800,tract,5018,5938,2029,3891,18,3909,34,66
G09000304162,New Britain,9003416200,tract,4162,4221,3909,303,9,312,93,7
G09000305142,Manchester,9003514200,tract,5142,2346,2303,43,0,43,98,2
G09000304661,Simsbury,9003466100,tract,4661,7622,7583,30,9,39,99,1
G09000304772,Suffield,9003477200,tract,4772,2273,2236,37,0,37,98,2
G09000304842,East Windsor,9003484200,tract,4842,2937,2880,48,9,57,98,2
G09000304165,New Britain,9003416500,tract,4165,7031,5914,1060,57,1117,84,16
G09000304054,Bristol,9003405400,tract,4054,5527,5396,127,4,131,98,2
G09000305017,Hartford,9003501700,tract,5017,2819,1253,1517,49,1566,44,56
G09000304976,West Hartford,9003497600,tract,4976,2843,2823,20,0,20,99,1
G09000305203,Glastonbury,9003520300,tract,5203,6732,6689,43,0,43,99,1
G09000304809,Enfield,9003480900,tract,4809,4507,4437,57,13,70,98,2
G09000304872,South Windsor,9003487200,tract,4872,5675,5563,107,5,112,98,2
G09000304663,Simsbury,9003466300,tract,4663,4201,4201,0,0,0,100,0
G09000305049,Hartford,9003504900,tract,5049,5995,4856,1080,59,1139,81,19
G09000305146,Manchester,9003514600,tract,5146,5408,5399,0,9,9,100,0
G09000304871,South Windsor,9003487100,tract,4871,4896,4782,74,40,114,98,2
G09000305032,Hartford,9003503200,tract,5032,419,340,69,10,79,81,19
G09000305107,East Hartford,9003510700,tract,5107,6079,5985,94,0,94,98,2
G09000305151,Manchester,9003515100,tract,5151,4536,4483,22,31,53,99,1
G09000304303,Southington,9003430300,tract,4303,4568,4532,24,12,36,99,1
G09000304946,Newington,9003494600,tract,4946,2962,2945,17,0,17,99,1
G09000304969,West Hartford,9003496900,tract,4969,7176,7139,3,34,37,99,1
G09000305204,Glastonbury,9003520400,tract,5204,5838,5794,26,18,44,99,1
G09000305145,Manchester,9003514500,tract,5145,5332,5311,21,0,21,100,0
G09000304053,Bristol,9003405300,tract,4053,5923,5923,0,0,0,100,0
G09000304962,West Hartford,9003496200,tract,4962,5094,5057,24,13,37,99,1
G09000304736,Windsor,9003473600,tract,4736,4367,4171,196,0,196,96,4
G09000304841,East Windsor,9003484100,tract,4841,5576,5406,166,4,170,97,3
G09000304810,Enfield,9003481000,tract,4810,2825,2825,0,0,0,100,0
G09000305148,Manchester,9003514800,tract,5148,3886,3886,0,0,0,100,0
G09000305108,East Hartford,9003510800,tract,5108,3866,3857,9,0,9,100,0
G09000304622,Avon,9003462200,tract,4622,4271,4266,0,5,5,100,0
G09000305150,Manchester,9003515000,tract,5150,2794,2774,20,0,20,99,1
G09000304712,Bloomfield,9003471200,tract,4712,3641,2711,922,8,930,74,26
G09000304306,Southington,9003430600,tract,4306,6225,6188,0,37,37,99,1
G09000305039,Hartford,9003503900,tract,5039,5552,3297,2244,11,2255,59,41
G09000305002,Hartford,9003500200,tract,5002,3234,3193,35,6,41,99,1
G09000304873,South Windsor,9003487300,tract,4873,1022,1015,7,0,7,99,1
G09000304966,West Hartford,9003496600,tract,4966,2784,2755,29,0,29,99,1
G09000305001,Hartford,9003500100,tract,5001,3524,3486,0,38,38,99,1
G09000304157,New Britain,9003415700,tract,4157,4275,4258,17,0,17,100,0
G09000305036,Hartford,9003503600,tract,5036,1197,927,207,63,270,77,23
G09000304168,New Britain,9003416800,tract,4168,3343,3337,0,6,6,100,0
G09000305010,Hartford,9003501000,tract,5010,4376,493,3799,84,3883,11,89
G09000305028,Hartford,9003502800,tract,5028,4118,4095,13,10,23,99,1
G09000305029,Hartford,9003502900,tract,5029,3117,3111,6,0,6,100,0
G09000304167,New Britain,9003416700,tract,4167,8569,8016,538,15,553,94,6
G09000305024,Hartford,9003502400,tract,5024,6023,5870,102,51,153,97,3
G09000305112,East Hartford,9003511200,tract,5112,3901,3835,56,10,66,98,2
G09000304714,Bloomfield,9003471400,tract,4714,3910,3776,130,4,134,97,3
G09000304807,Enfield,9003480700,tract,4807,2609,2609,0,0,0,100,0
G09000304972,West Hartford,9003497200,tract,4972,2258,2216,37,5,42,98,2
